"   ","BUSINESS_FLAG","BUSINESS_NAME","BUSINESS_GROUP"
"1","1","基金账户开户","Dg"
"2","2","基金账户销户","Dg"
"3","3","基金账户修改","Dg"
"4","4","基金账户冻结","Dg"
"5","5","基金账户解冻","Dg"
"6","6","基金账户挂失","Dg"
"7","7","基金账户解挂","Dg"
"8","8","增加交易账户","Dg"
"9","9","撤销交易账户","Dg"
"10","20","认购申请","FB"
"11","22","申购申请","FB"
"12","23","预约申购","FB"
"13","24","赎回申请","FB"
"14","25","预约赎回","FB"
"15","26","转托管","FB"
"16","27","转托管入","FB"
"17","28","转托管出","FB"
"18","29","分红方式设置","FB"
"19","31","份额冻结","FB"
"20","32","份额解冻","FB"
"21","33","非交易过户","FB"
"22","34","非交易过户入","FB"
"23","35","非交易过户出","FB"
"24","36","基金转换","FB"
"25","37","基金转换入","FB"
"26","38","基金转换出","FB"
"27","39","定时定额投资","FB"
"28","40","退款","FB"
"29","41","补款","FB"
"30","44","强增","FA"
"31","45","强减","FA"
"32","46","成本价设置","FB"
"33","47","份额质押","FB"
"34","48","份额解押","FB"
"35","49","基金确权","FB"
"36","52","基金账户撤单","Dg"
"37","53","基金交易撤单","FB"
"38","59","定期定额开户","Dg"
"39","60","定期定额销户","Dg"
"40","61","定期定额变约","Dg"
"41","70","基金资金长冻","FB"
"42","71","基金资金长解","FB"
"43","73","基金资金拨入","FB"
"44","74","基金资金拨出","FB"
"45","75","基金资金红利","FB"
"46","76","基金资金融入","FB"
"47","77","基金资金融出","FB"
"48","82","ETF实物申购","FB"
"49","84","ETF实物赎回","FB"
"50","85","基金分拆","FB"
"51","86","基金合并","FB"
"52","89","份额冲账","FB"
"53","97","快速过户申请","FB"
"54","98","现金理财快速取现","FB"
"55","99","基金撤单","FB"
"56","101","基金账户开户确认","Dg"
"57","102","基金账户销户确认","Dg"
"58","103","基金账户修改确认","Dg"
"59","104","基金账户冻结确认","Dg"
"60","105","基金账户解冻确认","Dg"
"61","106","基金账户挂失确认","Dg"
"62","107","基金账户解挂确认","Dg"
"63","108","增加交易账户确认","Dg"
"64","109","撤销交易账户确认","Dg"
"65","110","账户挂失换新号","Dg"
"66","113","账户资料变更","Dg"
"67","114","账户资料核对","Dg"
"68","120","认购确认","FA"
"69","122","申购确认","FA"
"70","123","预约申购确认","FA"
"71","124","赎回确认","FA"
"72","125","预约赎回确认","FA"
"73","126","转托管确认","FA"
"74","127","转托管入确认","FA"
"75","128","转托管出确认","FA"
"76","129","设置分红方式确认","FB"
"77","130","认购成立","FA"
"78","131","份额冻结确认","FB"
"79","132","份额解冻确认","FB"
"80","133","非交易过户确认","FA"
"81","134","非交易过户入确认","FA"
"82","135","非交易过户出确认","FA"
"83","136","转换确认","FA"
"84","137","转换入确认","FA"
"85","138","转换出确认","FA"
"86","139","定时定额投资确认","FA"
"87","140","退款","FA"
"88","141","补款","FA"
"89","142","强行赎回","FA"
"90","143","红利发放","FA"
"91","144","强行调增","FA"
"92","145","强行调减","FA"
"93","146","配号","FB"
"94","147","份额质押确认","FB"
"95","148","份额解押确认","FB"
"96","149","基金确权确认","FA"
"97","150","基金清盘","FA"
"98","151","基金终止","FA"
"99","152","现金产品解约确认","FB"
"100","170","基金资金长冻","FB"
"101","171","基金资金长解","FB"
"102","173","基金资金拨入","FA"
"103","174","基金资金拨出","FA"
"104","175","基金资金红利","FA"
"105","176","基金资金融入","FA"
"106","177","基金资金融出","FA"
"107","179","定期定额变约确认","Dg"
"108","180","定期定额开户确认","Dg"
"109","181","定期定额销户确认","Dg"
"110","186","份额指定转入","FA"
"111","197","快速过户确认","FB"
"112","222","基金盘后申购","FA"
"113","224","基金盘后赎回","FA"
"114","282","实物券申购","FA"
"115","284","实物券赎回","FA"
"116","301","基金账户开户失败","Dg"
"117","302","基金账户销户失败","Dg"
"118","303","基金账户修改失败","Dg"
"119","304","基金账户冻结失败","Dg"
"120","305","基金账户解冻失败","Dg"
"121","306","基金账户挂失失败","Dg"
"122","307","基金账户解挂失败","Dg"
"123","308","增加交易账户失败","Dg"
"124","309","撤销交易账户失败","Dg"
"125","320","认购失败","FB"
"126","322","申购失败","FB"
"127","323","预约申购失败","FB"
"128","324","赎回申请失败","FB"
"129","325","预约赎回失败","FB"
"130","326","转托管失败","FB"
"131","327","转托管入失败","FB"
"132","328","转托管出失败","FB"
"133","329","设置分红方式失败","FB"
"134","330","成立失败","FB"
"135","331","份额冻结失败","FB"
"136","332","份额解冻失败","FB"
"137","333","非交易过户失败","FB"
"138","334","非交易过户入失败","FB"
"139","335","非交易过户出失败","FB"
"140","336","转换失败","FB"
"141","337","转换入失败","FB"
"142","338","转换出失败","FB"
"143","339","定时定额投资失败","FB"
"144","347","份额质押失败","FB"
"145","348","份额解押失败","FB"
"146","349","基金确权失败","FB"
"147","352","现金产品解约失败","FB"
"148","379","定期定额变约失败","Dg"
"149","380","定期定额开户失败","Dg"
"150","381","定期定额销户失败","Dg"
"151","397","快速过户失败","FB"
"152","501","基金内部指定","Dg"
"153","502","基金内部撤指定","Dg"
"154","503","基金电子合同签署","Dg"
"155","504","基金电子合同补正","Dg"
"156","505","基金电子合同取消","Dg"
"157","506","基金电子合同申报","Dg"
"158","507","基金电子合同回报","Dg"
